config,model_name,alpha,threshold,sensitivity,specificity,youden_j,auc
Full Questionnaire,Lasso,0.5550769230769231,0.0685522859974869,0.9578947368421052,0.4548872180451128,0.412781954887218,0.9427285318559556
Full Questionnaire,Lasso,0.5754871794871795,0.0629803950235845,0.9631578947368421,0.424812030075188,0.3879699248120301,0.9427285318559556
Full Questionnaire,Lasso,0.5958974358974359,0.0629803950235845,0.9631578947368421,0.424812030075188,0.3879699248120301,0.9427285318559556
Full Questionnaire,Lasso,0.6163076923076923,0.0574511425188881,0.968421052631579,0.39097744360902253,0.3593984962406016,0.9427285318559556
Full Questionnaire,Lasso,0.6367179487179487,0.0527869112863344,0.9789473684210527,0.36466165413533835,0.34360902255639103,0.9427285318559556
Full Questionnaire,Lasso,0.6571282051282051,0.0497750337926599,0.9842105263157894,0.3533834586466165,0.3375939849624059,0.9427285318559556
Full Questionnaire,Lasso,0.6775384615384615,0.0480028144527503,0.9894736842105263,0.33458646616541354,0.32406015037593994,0.9427285318559556
Full Questionnaire,Lasso,0.6979487179487179,0.0463066934463335,0.9947368421052631,0.31954887218045114,0.3142857142857143,0.9427285318559556
Full Questionnaire,Lasso,0.7183589743589743,0.0398564417930162,1.0,0.2857142857142857,0.2857142857142856,0.9427285318559556
Full Questionnaire,Lasso,0.7387692307692307,0.0398564417930162,1.0,0.2857142857142857,0.2857142857142856,0.9427285318559556
Full Questionnaire,Lasso,0.7591794871794871,0.0398564417930162,1.0,0.2857142857142857,0.2857142857142856,0.9427285318559556
Full Questionnaire,Lasso,0.7795897435897436,0.0398564417930162,1.0,0.2857142857142857,0.2857142857142856,0.9427285318559556
Full Questionnaire,Lasso,0.8,0.0398564417930162,1.0,0.2857142857142857,0.2857142857142856,0.9427285318559556
Full Questionnaire,Logistic Regression,0.004,0.9586323924351524,0.4368421052631579,0.9962406015037594,0.4330827067669172,0.9408092599920854
Full Questionnaire,Logistic Regression,0.02441025641025641,0.7755582388672552,0.8526315789473684,0.9887218045112782,0.8413533834586466,0.9408092599920854
Full Questionnaire,Logistic Regression,0.04482051282051282,0.6899528513259341,0.8631578947368421,0.9736842105263158,0.836842105263158,0.9408092599920854
Full Questionnaire,Logistic Regression,0.06523076923076923,0.5521639299454879,0.8842105263157894,0.9360902255639098,0.8203007518796992,0.9408092599920854
Full Questionnaire,Logistic Regression,0.08564102564102564,0.5037887627578621,0.8894736842105263,0.9210526315789473,0.8105263157894735,0.9408092599920854
Full Questionnaire,Logistic Regression,0.10605128205128206,0.5037887627578621,0.8894736842105263,0.9210526315789473,0.8105263157894735,0.9408092599920854
Full Questionnaire,Logistic Regression,0.12646153846153846,0.5037887627578621,0.8894736842105263,0.9210526315789473,0.8105263157894735,0.9408092599920854
Full Questionnaire,Logistic Regression,0.1468717948717949,0.2546876926814506,0.9,0.8533834586466166,0.7533834586466166,0.9408092599920854
Full Questionnaire,Logistic Regression,0.1672820512820513,0.2546876926814506,0.9,0.8533834586466166,0.7533834586466166,0.9408092599920854
Full Questionnaire,Logistic Regression,0.18769230769230769,0.2546876926814506,0.9,0.8533834586466166,0.7533834586466166,0.9408092599920854
Full Questionnaire,Logistic Regression,0.2081025641025641,0.1764453162508493,0.9052631578947369,0.8045112781954887,0.7097744360902256,0.9408092599920854
Full Questionnaire,Logistic Regression,0.2285128205128205,0.151965726131818,0.9105263157894737,0.7819548872180451,0.6924812030075187,0.9408092599920854
Full Questionnaire,Logistic Regression,0.2489230769230769,0.151965726131818,0.9105263157894737,0.7819548872180451,0.6924812030075187,0.9408092599920854
Full Questionnaire,Logistic Regression,0.2693333333333333,0.151965726131818,0.9105263157894737,0.7819548872180451,0.6924812030075187,0.9408092599920854
Full Questionnaire,Logistic Regression,0.28974358974358977,0.151965726131818,0.9105263157894737,0.7819548872180451,0.6924812030075187,0.9408092599920854
Full Questionnaire,Logistic Regression,0.31015384615384617,0.1025898981009263,0.9157894736842105,0.6954887218045113,0.6112781954887216,0.9408092599920854
Full Questionnaire,Logistic Regression,0.33056410256410257,0.1025898981009263,0.9157894736842105,0.6954887218045113,0.6112781954887216,0.9408092599920854
Full Questionnaire,Logistic Regression,0.35097435897435897,0.0840688285266303,0.9263157894736842,0.6541353383458647,0.5804511278195488,0.9408092599920854
Full Questionnaire,Logistic Regression,0.37138461538461537,0.0840688285266303,0.9263157894736842,0.6541353383458647,0.5804511278195488,0.9408092599920854
Full Questionnaire,Logistic Regression,0.3917948717948718,0.0840688285266303,0.9263157894736842,0.6541353383458647,0.5804511278195488,0.9408092599920854
Full Questionnaire,Logistic Regression,0.4122051282051282,0.0700976205414687,0.9315789473684211,0.6015037593984962,0.5330827067669173,0.9408092599920854
Full Questionnaire,Logistic Regression,0.4326153846153846,0.0700976205414687,0.9315789473684211,0.6015037593984962,0.5330827067669173,0.9408092599920854
Full Questionnaire,Logistic Regression,0.453025641025641,0.0604458703872092,0.9421052631578948,0.5601503759398496,0.5022556390977444,0.9408092599920854
Full Questionnaire,Logistic Regression,0.4734358974358974,0.0571849603245358,0.9473684210526315,0.5451127819548872,0.49248120300751874,0.9408092599920854
Full Questionnaire,Logistic Regression,0.4938461538461538,0.0571849603245358,0.9473684210526315,0.5451127819548872,0.49248120300751874,0.9408092599920854
Full Questionnaire,Logistic Regression,0.5142564102564102,0.0571849603245358,0.9473684210526315,0.5451127819548872,0.49248120300751874,0.9408092599920854
Full Questionnaire,Logistic Regression,0.5346666666666666,0.0571849603245358,0.9473684210526315,0.5451127819548872,0.49248120300751874,0.9408092599920854
Full Questionnaire,Logistic Regression,0.5550769230769231,0.0443828321461653,0.9526315789473684,0.45112781954887216,0.40375939849624043,0.9408092599920854
Full Questionnaire,Logistic Regression,0.5754871794871795,0.0443828321461653,0.9526315789473684,0.45112781954887216,0.40375939849624043,0.9408092599920854
Full Questionnaire,Logistic Regression,0.5958974358974359,0.0382135174531819,0.9578947368421052,0.40601503759398494,0.3639097744360902,0.9408092599920854
